County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,"",""
Albany,724922,Store,JAC,P S ALBANY FOOD MART,P S ALBANY FOOD,553,WASHINGTON AVE,\"\",\"\",ALBANY,NY,12206,42.664735,-73.777103
Albany,730691,Store,JAC,NOCTURNAL COOKIES LLC,NOCTURNAL COOKIES,113,EVERETT,\"\",\"\",ALBANY,NY,12205,42.693853,-73.773554
Albany,724993,Store,A,MARRA'S PHARMACY INC,MARRA'S PHARMACY,217,REMSEN ST,\"\",\"\",COHOES,NY,12047,42.771042,-73.700562
Albany,725597,Store,A,DOLLAR TREE STORES INC,DOLLAR TREE #1017,180,"DELAWARE AVE, DELAWARE PLAZA",\"\",\"\",DELMAR,NY,12054,42.62889,-73.811645
Albany,725467,Store,A,DOLGENCORP OF NEW YORK INC,DOLLAR GENERAL 16872,1939,CENTRAL AVE,\"\",\"\",ALBANY,NY,12205,42.73863,-73.85682
Albany,725448,Store,JAC,PRESTIGE PETROLEUM CORP,PRESTIGE PETROLEUM,791,NEW SCOTLAND AVE,\"\",\"\",ALBANY,NY,12208,42.658259,-73.815081
Albany,730727,Store,JAC,RUNC SUPERMARKET INC,RUNC SUPERMARKET,462,TROY SCHENECTADY ROAD,\"\",\"\",LATHAM,NY,12110,42.746593,-73.758163
Albany,725390,Store,A,ALBANY DOLLAR INC,DOLLAR N THINGS,1,CROSSGATES MALL RD,\"\",\"\",ALBANY,NY,12203,42.687038,-73.850605
Albany,730735,Store,A,PERUNOVIC MIODRAG,MICKEYS CORNER,6,EMPIRE STATE PLAZA,\"\",\"\",ALBANY,NY,12228,"",""
Albany,734210,Store,A,M&M FOOD MART INC,M&M MART,591,BROADWAY,\"\",\"\",ALBANY,NY,12204,42.704332,-73.714362
Albany,725271,Store,JAC,MORAN FOODS LLC,SAVE A LOT #8035,612,CENTRAL AVE,\"\",\"\",ALBANY,NY,12206,42.672911,-73.781815
Albany,720471,Store,JAC,CAPITAL AREA HOSPITALITY LLC,STEUBEN ST MARKET,58,N PEARL ST,\"\",\"\",ALBANY,NY,12207,42.651592,-73.751504
Albany,721942,Store,JAC,D.B. CORNER MART LLC,CORNER MART,91,SOUTHERN BLVD,\"\",\"\",ALBANY,NY,12209,42.636808,-73.78367
Albany,723927,Store,JAC,ADVANCED FRESH CONCEPTS FRAN CORP,AFC SUSHI@ PRICE CHOPPE,2080,WESTERN AVE,\"\",\"\",GUILDERLAND,NY,12084,42.698502,-73.89159
Albany,725731,Store,JAC,SANG CHO,JANG TUH ASIAN GROCERY,724,NEW LOUDON RD,\"\",\"\",LATHAM,NY,12110,42.740733,-73.762044
Albany,722623,Store,A,ALDI INC,ALDI #81,1885,CENTRAL AVENUE,\"\",\"\",ALBANY,NY,12205,42.734676,-73.852306
Albany,732254,Store,JAC,7 ELEVEN INC,SUNOCO #40196H,57,EXCHANGE ST AT EVERETT,\"\",\"\",ALBANY,NY,12205,42.685191,-73.783307
Albany,723246,Store,JAC,ALIBABA HALAL MEAT & GROCERIES LL,ALIBABA HALAL MEAT & GR,21,CENTRAL AVE,\"\",\"\",ALBANY,NY,12210,42.657566,-73.764261
Albany,723051,Store,JAC,BENTO NOUVEAU INC,BENTO SUSHI,5239,WESTERN TPK,\"\",\"\",ALTAMONT,NY,12009,42.715686,-73.934476
Albany,723047,Store,JAC,BENTO NOUVEAU INC,BENTO SUSHI,180,DELAWARE AVE,\"\",\"\",DELMAR,NY,12054,42.62889,-73.811645
Albany,723046,Store,JAC,BENTO NOUVEAU INC,BENTO SUSHI,96,WOLF RD,\"\",\"\",ALBANY,NY,12205,42.716008,-73.810596
Albany,731463,Store,JAC,SHREE SANDERI INC,NOOR MART,1010,19TH STREET,\"\",\"\",WATERVLIET,NY,12189,42.733018,-73.71175
Albany,723024,Store,JAC,E & D AFRICAN MARKET LLC,E & D AFRICAN MARKET,617,CENTRAL AVE,\"\",\"\",ALBANY,NY,12206,42.673848,-73.782894
Albany,722893,Store,JAC,88 WOLF RD INC,WOLF RD MOBIL,88,WOLF RD,\"\",\"\",ALBANY,NY,12205,42.715359,-73.81165
Albany,722820,Store,JAC,FELIPITO MERCEDES,CHICO CHICKEN DELI & GR,333,SOUTH PEARL ST,\"\",\"\",ALBANY,NY,12202,42.640383,-73.757649
Albany,722740,Store,JAC,HELDERBERG MOUNTAIN BREWING COMPA,HELDERBERG MOUNTAIN BRE,141,WARNERS LAKE RD SUITE 1,\"\",\"\",EAST BERNE,NY,12059,42.630263,-74.078872
Albany,732040,Store,JAC,RAFIK DELI INC,RAFIK DELI,109,CENTRAL AVE,\"\",\"\",ALBANY,NY,12206,42.659806,-73.766843
Albany,723274,Store,JAC,BENTO NOUVEAU INC,BENTO SUSHI,579,TROY SCHENECTADY RD,\"\",\"\",LATHAM,NY,12110,42.752101,-73.766837
Albany,721638,Store,A,HARI & AADI CO,GARY COUNTRY FARM,821,NEW SCOTLAND AVE,\"\",\"\",ALBANY,NY,12208,42.657939,-73.815329
Albany,732883,Store,JAC,DEEDEES NEWS & DELI LLC,COULSON'S NEWS & DELI,420,BROADWAY,\"\",\"\",ALBANY,NY,12207,42.648564,-73.750777
Albany,722581,Store,JAC,D & L DREAMS,CHOPS & HOPS,1214,TROY SCHENECTADY ROAD,\"\",\"\",LATHAM,NY,12110,42.771902,-73.823151
Albany,734730,Store,A,BROOKS ANGELA,GEORGIAS SUGAR SHACK,50,WOLF ROAD,\"\",\"\",ALBANY,NY,12223,42.713167,-73.815194
Albany,734731,Store,A,BROOKS CAITLYN,KATIES PATH 2 SNACKS,160,STATE ST JUSTICE BLVD,\"\",\"\",ALBANY,NY,12223,"",""
Albany,734908,Store,JAC,HALAL SUPERMARKET INC,SHOP&SAVE HALAL SUPERMA,688D,NEW LOUDON RD,\"\",\"\",LATHAM,NY,12110,42.738083,-73.76217
